epochs,loss,accuracy,model,fit_time,total_params
2,1.3389584070799367,0.3602649,keras_vgg19_model 128,37.61389204978943,20026436
3,1.3431636488200813,0.3602649,keras_vgg19_model 128,56.42083807468414,20026436
4,1.3405410444499641,0.3602649,keras_vgg19_model 128,75.22778409957886,20026436
5,1.340461970638755,0.3602649,keras_vgg19_model 128,94.03473012447357,20026436
6,1.3379007367898297,0.3602649,keras_vgg19_model 128,112.84167614936828,20026436
7,1.3389567948335055,0.3602649,keras_vgg19_model 128,131.648622174263,20026436
8,1.3385366725605845,0.3602649,keras_vgg19_model 128,150.4555681991577,20026436
9,1.769681711070585,0.26092714,keras_vgg19_model 128,169.26251422405244,20026436
10,1.3474459548659672,0.3602649,keras_vgg19_model 128,188.06946024894714,20026436
11,1.3441413282558619,0.3602649,keras_vgg19_model 128,206.87640627384187,20026436
12,1.3366052095463734,0.3205298,keras_vgg19_model 128,225.68335229873657,20026436
13,1.3386635894017505,0.3602649,keras_vgg19_model 128,244.4902983236313,20026436
14,1.3383954884990161,0.3602649,keras_vgg19_model 128,263.297244348526,20026436
15,1.337505002053368,0.3602649,keras_vgg19_model 128,282.1041903734207,20026436
16,1.338183162070268,0.3602649,keras_vgg19_model 128,300.9111363983154,20026436
17,1.3378822162451334,0.3602649,keras_vgg19_model 128,319.71808242321015,20026436
18,1.337408133847824,0.3602649,keras_vgg19_model 128,338.5250284481049,20026436
19,1.337618362193076,0.3602649,keras_vgg19_model 128,357.33197447299955,20026436
20,1.3374839321666996,0.3602649,keras_vgg19_model 128,376.1389204978943,20026436
21,1.3372706135377188,0.3602649,keras_vgg19_model 128,394.945866522789,20026436
22,1.3373545158777804,0.3602649,keras_vgg19_model 128,413.75281254768373,20026436
23,1.3437101242558056,0.3602649,keras_vgg19_model 128,432.5597585725784,20026436
24,1.4192503063884003,0.3602649,keras_vgg19_model 128,451.36670459747313,20026436
25,1.3375093535871696,0.3602649,keras_vgg19_model 128,470.17365062236786,20026436
26,1.3383303937533044,0.3602649,keras_vgg19_model 128,488.9805966472626,20026436
27,1.3380974509068673,0.3602649,keras_vgg19_model 128,507.7875426721573,20026436
28,1.3376463555342315,0.3602649,keras_vgg19_model 128,526.594488697052,20026436
29,1.3370124467950784,0.3602649,keras_vgg19_model 128,545.4014347219468,20026436
30,1.3375472199837892,0.3602649,keras_vgg19_model 128,564.2083807468414,20026436
31,1.338483344008591,0.3602649,keras_vgg19_model 128,583.0153267717361,20026436
32,1.337883864333298,0.3602649,keras_vgg19_model 128,601.8222727966308,20026436
33,1.338298266928717,0.3602649,keras_vgg19_model 128,620.6292188215256,20026436
34,1.3396079600252062,0.3602649,keras_vgg19_model 128,639.4361648464203,20026436
35,1.3371947798507893,0.3602649,keras_vgg19_model 128,658.243110871315,20026436
36,1.3374715377163413,0.3602649,keras_vgg19_model 128,677.0500568962098,20026436
37,1.3376374639422688,0.3602649,keras_vgg19_model 128,695.8570029211045,20026436
38,1.3371846268508607,0.3602649,keras_vgg19_model 128,714.6639489459991,20026436
39,1.3377091369881535,0.3602649,keras_vgg19_model 128,733.4708949708938,20026436
40,1.3371027318057636,0.3602649,keras_vgg19_model 128,752.2778409957886,20026436
41,1.3372382115054604,0.3602649,keras_vgg19_model 128,771.0847870206833,20026436
42,1.3391233829473028,0.3602649,keras_vgg19_model 128,789.891733045578,20026436
43,1.341328661647064,0.3602649,keras_vgg19_model 128,808.6986790704727,20026436
44,1.3374942602700746,0.3602649,keras_vgg19_model 128,827.5056250953675,20026436
45,1.3293494614544294,0.3602649,keras_vgg19_model 128,846.3125711202622,20026436
46,1.3384727593289305,0.3602649,keras_vgg19_model 128,865.1195171451568,20026436
47,1.3379892300296303,0.3602649,keras_vgg19_model 128,883.9264631700515,20026436
48,3.0708135255125186,0.14304636,keras_vgg19_model 128,902.7334091949463,20026436
49,1.3374183007423452,0.3602649,keras_vgg19_model 128,921.540355219841,20026436
50,1.337978677560162,0.3602649,keras_vgg19_model 128,940.3473012447357,20026436
1,1.340852304325988,0.3602649,keras_vgg19_model 128,16.13012867450714,20026436
2,1.3676009983416424,0.26092714,keras_vgg19_model 128,32.26025734901428,20026436
3,1.4282066545739078,0.119205296,keras_vgg19_model 128,48.39038602352142,20026436
4,1.497552111133045,0.15496689,keras_vgg19_model 128,64.52051469802856,20026436
5,1.5699553833892015,0.4317881,keras_vgg19_model 128,80.65064337253571,20026436
6,1.5386876903622355,0.4476821,keras_vgg19_model 128,96.78077204704284,20026436
7,1.2290531619495113,0.49801326,keras_vgg19_model 128,112.91090072155,20026436
8,1.2362551283362686,0.5059603,keras_vgg19_model 128,129.04102939605713,20026436
9,1.170451628767102,0.5218543,keras_vgg19_model 128,145.17115807056427,20026436
10,1.1473675770475376,0.54569536,keras_vgg19_model 128,161.30128674507142,20026436
11,1.2373328491551987,0.46225166,keras_vgg19_model 128,177.43141541957854,20026436
12,0.9812213652970775,0.60264903,keras_vgg19_model 128,193.5615440940857,20026436
13,1.1055272759980714,0.592053,keras_vgg19_model 128,209.69167276859284,20026436
14,1.4624564893987795,0.37218544,keras_vgg19_model 128,225.8218014431,20026436
15,1.189813147633281,0.5231788,keras_vgg19_model 128,241.9519301176071,20026436
16,0.911246334322241,0.6278146,keras_vgg19_model 128,258.08205879211425,20026436
17,1.7122146822758857,0.24503312,keras_vgg19_model 128,274.2121874666214,20026436
18,1.161106787927893,0.5602649,keras_vgg19_model 128,290.34231614112855,20026436
19,1.0379015306763302,0.62913907,keras_vgg19_model 128,306.4724448156357,20026436
20,0.9277998662152828,0.6450331,keras_vgg19_model 128,322.60257349014285,20026436
21,1.6559419066700714,0.30463576,keras_vgg19_model 128,338.73270216464994,20026436
22,0.9813430419820823,0.62119204,keras_vgg19_model 128,354.8628308391571,20026436
23,1.0246836857290458,0.613245,keras_vgg19_model 128,370.99295951366423,20026436
24,0.9834952919688446,0.6225166,keras_vgg19_model 128,387.1230881881714,20026436
25,0.8893006143980469,0.6344371,keras_vgg19_model 128,403.2532168626785,20026436
26,1.1196791898335843,0.6039735,keras_vgg19_model 128,419.3833455371857,20026436
27,0.8408631836341707,0.6834437,keras_vgg19_model 128,435.5134742116928,20026436
28,1.146965849162727,0.607947,keras_vgg19_model 128,451.6436028862,20026436
29,0.8823373969027538,0.6874172,keras_vgg19_model 128,467.7737315607071,20026436
30,0.9680016576849072,0.66490066,keras_vgg19_model 128,483.9038602352142,20026436
31,3.1715187742220645,0.23046358,keras_vgg19_model 128,500.03398890972136,20026436
32,0.9900130033493042,0.65960264,keras_vgg19_model 128,516.1641175842285,20026436
33,0.9367143473088346,0.65960264,keras_vgg19_model 128,532.2942462587357,20026436
34,0.9107821029543087,0.6847682,keras_vgg19_model 128,548.4243749332428,20026436
35,0.9645714267989658,0.6794702,keras_vgg19_model 128,564.5545036077499,20026436
36,1.0015353722288118,0.6966888,keras_vgg19_model 128,580.6846322822571,20026436
37,0.9623904122422073,0.6847682,keras_vgg19_model 128,596.8147609567642,20026436
38,0.8262099517891739,0.7086093,keras_vgg19_model 128,612.9448896312714,20026436
39,0.9072064108406471,0.69536424,keras_vgg19_model 128,629.0750183057785,20026436
40,0.8384006939186955,0.7178808,keras_vgg19_model 128,645.2051469802857,20026436
41,0.9229775437456094,0.6993377,keras_vgg19_model 128,661.3352756547928,20026436
42,0.9543658383634707,0.70728475,keras_vgg19_model 128,677.4654043292999,20026436
43,0.9651609333145698,0.7059603,keras_vgg19_model 128,693.5955330038071,20026436
44,0.9487820142152293,0.7231788,keras_vgg19_model 128,709.7256616783142,20026436
45,1.1554771890308684,0.6357616,keras_vgg19_model 128,725.8557903528214,20026436
46,1.1416300582569956,0.67417216,keras_vgg19_model 128,741.9859190273285,20026436
47,0.898464649323596,0.72715235,keras_vgg19_model 128,758.1160477018357,20026436
48,0.8601443504655598,0.6993377,keras_vgg19_model 128,774.2461763763428,20026436
49,1.005839896873133,0.70198673,keras_vgg19_model 128,790.37630505085,20026436
50,0.9463024254666259,0.70993376,keras_vgg19_model 128,806.506433725357,20026436
1,2.3542098983234125,0.26092714,resnet50_model 128,13.397787256240845,23620484
2,3.103821847928281,0.2768212,resnet50_model 128,26.79557451248169,23620484
3,3.953471199092486,0.24900663,resnet50_model 128,40.19336176872253,23620484
4,6.550029194907637,0.40529802,resnet50_model 128,53.59114902496338,23620484
5,74.49423644211119,0.42649007,resnet50_model 128,66.98893628120422,23620484
6,3.744370532509507,0.5205298,resnet50_model 128,80.38672353744506,23620484
7,31.667641309436583,0.18807948,resnet50_model 128,93.78451079368591,23620484
8,1.4952633725096849,0.46092716,resnet50_model 128,107.18229804992676,23620484
9,0.7223627511831309,0.7218543,resnet50_model 128,120.5800853061676,23620484
10,0.8971939834932617,0.69139075,resnet50_model 128,133.97787256240844,23620484
11,0.997345766898812,0.7139073,resnet50_model 128,147.3756598186493,23620484
12,0.8514803644837133,0.7443709,resnet50_model 128,160.77344707489013,23620484
13,0.8451401775246424,0.7801325,resnet50_model 128,174.171234331131,23620484
14,1.0720321410539135,0.73377484,resnet50_model 128,187.56902158737182,23620484
15,1.1330093810988577,0.7139073,resnet50_model 128,200.96680884361268,23620484
16,0.6783191639263898,0.77748346,resnet50_model 128,214.36459609985351,23620484
17,1.0981124812601417,0.7165563,resnet50_model 128,227.76238335609435,23620484
18,0.7480920542154881,0.77748346,resnet50_model 128,241.1601706123352,23620484
19,1.0457888919638088,0.7443709,resnet50_model 128,254.55795786857604,23620484
20,1.0099995004617615,0.74834436,resnet50_model 128,267.9557451248169,23620484
21,1.0454847404498928,0.7231788,resnet50_model 128,281.35353238105773,23620484
22,3.0260468089817376,0.42384106,resnet50_model 128,294.7513196372986,23620484
23,1.016436478870594,0.7086093,resnet50_model 128,308.14910689353945,23620484
24,111.96965467440371,0.20132451,resnet50_model 128,321.54689414978026,23620484
25,1.3282710803018896,0.7059603,resnet50_model 128,334.9446814060211,23620484
26,1.4612331207224865,0.6807947,resnet50_model 128,348.342468662262,23620484
27,8.51139090329606,0.61456954,resnet50_model 128,361.7402559185028,23620484
28,1.6128530644028392,0.618543,resnet50_model 128,375.13804317474364,23620484
29,1.0510672609537643,0.7708609,resnet50_model 128,388.5358304309845,23620484
30,1.4218850279485942,0.7284768,resnet50_model 128,401.93361768722536,23620484
31,1.632383116191586,0.7152318,resnet50_model 128,415.33140494346617,23620484
32,3.498378664531455,0.38278145,resnet50_model 128,428.72919219970703,23620484
33,3.33796606379629,0.4,resnet50_model 128,442.1269794559479,23620484
34,1.3027334139491153,0.74834436,resnet50_model 128,455.5247667121887,23620484
35,1.4891925073099255,0.7298013,resnet50_model 128,468.92255396842955,23620484
36,3.8313758044842854,0.6225166,resnet50_model 128,482.3203412246704,23620484
37,1.3399091047759089,0.6768212,resnet50_model 128,495.7181284809113,23620484
38,1.0467257400222172,0.72450334,resnet50_model 128,509.1159157371521,23620484
39,1.2243352952382422,0.73642385,resnet50_model 128,522.5137029933929,23620484
40,0.9592541145765229,0.77218544,resnet50_model 128,535.9114902496337,23620484
41,1.3385617872342368,0.7443709,resnet50_model 128,549.3092775058747,23620484
42,1.2825653170907734,0.69139075,resnet50_model 128,562.7070647621155,23620484
43,1.2208832407974644,0.73642385,resnet50_model 128,576.1048520183563,23620484
44,1.0798246405377294,0.78145695,resnet50_model 128,589.5026392745972,23620484
45,1.3933247398757778,0.7231788,resnet50_model 128,602.900426530838,23620484
46,1.50359793991542,0.70993376,resnet50_model 128,616.2982137870789,23620484
47,1.3188815713206319,0.7496689,resnet50_model 128,629.6960010433197,23620484
48,1.4177081324061416,0.7615894,resnet50_model 128,643.0937882995605,23620484
49,1.1109149394815923,0.78410596,resnet50_model 128,656.4915755558014,23620484
50,1.2629127806459635,0.7682119,resnet50_model 128,669.8893628120422,23620484
1,3.6888818680845348,0.14304636,googlenet_model 128,6.427491044998169,5880914
2,3.6888818680845348,0.14304636,googlenet_model 128,12.854982089996337,5880914
3,3.6888818680845348,0.14304636,googlenet_model 128,19.282473134994508,5880914
4,3.6888818680845348,0.14304636,googlenet_model 128,25.709964179992674,5880914
5,3.6888818680845348,0.14304636,googlenet_model 128,32.137455224990845,5880914
6,3.6888818680845348,0.14304636,googlenet_model 128,38.564946269989015,5880914
7,3.6888818680845348,0.14304636,googlenet_model 128,44.992437314987185,5880914
8,3.6888818680845348,0.14304636,googlenet_model 128,51.41992835998535,5880914
9,3.6888818680845348,0.14304636,googlenet_model 128,57.84741940498352,5880914
10,3.6888818680845348,0.14304636,googlenet_model 128,64.27491044998169,5880914
11,3.6888818680845348,0.14304636,googlenet_model 128,70.70240149497985,5880914
12,3.6888818680845348,0.14304636,googlenet_model 128,77.12989253997803,5880914
13,3.6888818680845348,0.14304636,googlenet_model 128,83.5573835849762,5880914
14,3.6888818680845348,0.14304636,googlenet_model 128,89.98487462997437,5880914
15,3.6888818680845348,0.14304636,googlenet_model 128,96.41236567497253,5880914
16,3.6888818680845348,0.14304636,googlenet_model 128,102.8398567199707,5880914
17,3.6888818680845348,0.14304636,googlenet_model 128,109.26734776496887,5880914
18,3.6888818680845348,0.14304636,googlenet_model 128,115.69483880996704,5880914
19,3.6888818680845348,0.14304636,googlenet_model 128,122.12232985496522,5880914
20,3.6888818680845348,0.14304636,googlenet_model 128,128.54982089996338,5880914
21,3.6888818680845348,0.14304636,googlenet_model 128,134.97731194496154,5880914
22,3.6888818680845348,0.14304636,googlenet_model 128,141.4048029899597,5880914
23,3.6888818680845348,0.14304636,googlenet_model 128,147.8322940349579,5880914
24,3.6888818680845348,0.14304636,googlenet_model 128,154.25978507995606,5880914
25,3.6888818680845348,0.14304636,googlenet_model 128,160.68727612495422,5880914
26,3.6888818680845348,0.14304636,googlenet_model 128,167.1147671699524,5880914
27,3.6888818680845348,0.14304636,googlenet_model 128,173.54225821495055,5880914
28,3.6888818680845348,0.14304636,googlenet_model 128,179.96974925994874,5880914
29,3.6888818680845348,0.14304636,googlenet_model 128,186.3972403049469,5880914
30,3.6888818680845348,0.14304636,googlenet_model 128,192.82473134994507,5880914
31,3.6888818680845348,0.14304636,googlenet_model 128,199.25222239494323,5880914
32,3.6888818680845348,0.14304636,googlenet_model 128,205.6797134399414,5880914
33,3.6888818680845348,0.14304636,googlenet_model 128,212.1072044849396,5880914
34,3.6888818680845348,0.14304636,googlenet_model 128,218.53469552993775,5880914
35,3.6888818680845348,0.14304636,googlenet_model 128,224.9621865749359,5880914
36,3.6888818680845348,0.14304636,googlenet_model 128,231.38967761993408,5880914
37,3.6888818680845348,0.14304636,googlenet_model 128,237.81716866493224,5880914
38,3.6888818680845348,0.14304636,googlenet_model 128,244.24465970993043,5880914
39,3.6888818680845348,0.14304636,googlenet_model 128,250.6721507549286,5880914
40,3.6888818680845348,0.14304636,googlenet_model 128,257.09964179992676,5880914
41,3.6888818680845348,0.14304636,googlenet_model 128,263.52713284492495,5880914
42,3.6888818680845348,0.14304636,googlenet_model 128,269.9546238899231,5880914
43,3.6888818680845348,0.14304636,googlenet_model 128,276.3821149349213,5880914
44,3.6888818680845348,0.14304636,googlenet_model 128,282.8096059799194,5880914
45,3.6888818680845348,0.14304636,googlenet_model 128,289.2370970249176,5880914
46,3.6888818680845348,0.14304636,googlenet_model 128,295.6645880699158,5880914
47,3.6888818680845348,0.14304636,googlenet_model 128,302.09207911491393,5880914
48,3.6888818680845348,0.14304636,googlenet_model 128,308.5195701599121,5880914
49,3.6888818680845348,0.14304636,googlenet_model 128,314.94706120491026,5880914
50,3.6888818680845348,0.14304636,googlenet_model 128,321.37455224990845,5880914
1,0.8197695596328635,0.63841057,lenet_model 128,2.9259120988845826,25632080
2,0.7306946094462413,0.69403976,lenet_model 128,5.851824197769165,25632080
3,0.8212334274456201,0.70463574,lenet_model 128,8.777736296653748,25632080
4,1.3121186215356486,0.68609273,lenet_model 128,11.70364839553833,25632080
5,1.3873464028566878,0.70066226,lenet_model 128,14.629560494422913,25632080
6,1.0732981344721966,0.7549669,lenet_model 128,17.555472593307496,25632080
7,1.563308833608564,0.6847682,lenet_model 128,20.481384692192076,25632080
8,1.5649635220205547,0.7324503,lenet_model 128,23.40729679107666,25632080
9,1.711727191602799,0.7165563,lenet_model 128,26.33320888996124,25632080
10,1.8475626581552014,0.7152318,lenet_model 128,29.259120988845826,25632080
11,1.824929934101093,0.74569535,lenet_model 128,32.18503308773041,25632080
12,1.7356737964990123,0.7231788,lenet_model 128,35.11094518661499,25632080
13,1.8604540790153654,0.70463574,lenet_model 128,38.03685728549957,25632080
14,1.4094342478458455,0.7668874,lenet_model 128,40.96276938438415,25632080
15,2.3205262149011854,0.69801325,lenet_model 128,43.88868148326874,25632080
16,2.413650089919271,0.74304634,lenet_model 128,46.81459358215332,25632080
17,2.399230884780355,0.7470199,lenet_model 128,49.7405056810379,25632080
18,2.5593834061866367,0.7443709,lenet_model 128,52.66641777992248,25632080
19,2.60337924124636,0.7443709,lenet_model 128,55.59232987880707,25632080
20,2.5839208634779944,0.7443709,lenet_model 128,58.51824197769165,25632080
21,2.7007135454540614,0.74304634,lenet_model 128,61.44415407657623,25632080
22,2.7357590217167966,0.7443709,lenet_model 128,64.37006617546082,25632080
23,2.8161677481581933,0.74569535,lenet_model 128,67.2959782743454,25632080
24,2.7673648057776865,0.7470199,lenet_model 128,70.22189037322998,25632080
25,2.773903766612442,0.74569535,lenet_model 128,73.14780247211456,25632080
26,2.810780006955495,0.7470199,lenet_model 128,76.07371457099914,25632080
27,2.8190325006953634,0.7443709,lenet_model 128,78.99962666988372,25632080
28,2.837178921803141,0.74569535,lenet_model 128,81.9255387687683,25632080
29,2.8401624491117547,0.7443709,lenet_model 128,84.85145086765289,25632080
30,2.8816513132032573,0.7470199,lenet_model 128,87.77736296653748,25632080
31,2.8804113823044677,0.7470199,lenet_model 128,90.70327506542206,25632080
32,2.904732912338481,0.74569535,lenet_model 128,93.62918716430664,25632080
33,2.926457245926687,0.7443709,lenet_model 128,96.55509926319122,25632080
34,2.931536161866261,0.7443709,lenet_model 128,99.4810113620758,25632080
35,2.9603681909894903,0.74569535,lenet_model 128,102.40692346096039,25632080
36,2.9545072518116395,0.74172187,lenet_model 128,105.33283555984497,25632080
37,2.9733229212043497,0.74304634,lenet_model 128,108.25874765872955,25632080
38,3.0419171838762105,0.7470199,lenet_model 128,111.18465975761414,25632080
39,3.0257269122699486,0.7443709,lenet_model 128,114.11057185649872,25632080
40,3.0375596656642903,0.7443709,lenet_model 128,117.0364839553833,25632080
41,3.0477740334784795,0.7443709,lenet_model 128,119.96239605426788,25632080
42,3.041535418527509,0.7443709,lenet_model 128,122.88830815315247,25632080
43,3.047303122647156,0.7443709,lenet_model 128,125.81422025203705,25632080
44,3.094909966315778,0.74569535,lenet_model 128,128.74013235092164,25632080
45,3.075803411030365,0.7443709,lenet_model 128,131.6660444498062,25632080
46,3.1233457910445894,0.7443709,lenet_model 128,134.5919565486908,25632080
47,3.135136560844689,0.7443709,lenet_model 128,137.51786864757537,25632080
48,3.129206850678839,0.7443709,lenet_model 128,140.44378074645996,25632080
49,3.166569135056204,0.7443709,lenet_model 128,143.36969284534453,25632080
50,3.1629604396737174,0.7443709,lenet_model 128,146.29560494422913,25632080
1,1.3390544556624053,0.3602649,alexnet_model 128,34.11940043449402,293069068
2,1.337490970409469,0.3602649,alexnet_model 128,68.23880086898804,293069068
3,1.338946418099056,0.3602649,alexnet_model 128,102.35820130348206,293069068
4,1.3377205185542833,0.3602649,alexnet_model 128,136.47760173797607,293069068
5,1.3376481515682297,0.3602649,alexnet_model 128,170.5970021724701,293069068
6,1.3373634687322655,0.3602649,alexnet_model 128,204.71640260696412,293069068
7,1.337238853656693,0.3602649,alexnet_model 128,238.83580304145812,293069068
8,1.3380669765914512,0.3602649,alexnet_model 128,272.95520347595215,293069068
9,1.3430391077963721,0.3602649,alexnet_model 128,307.07460391044617,293069068
10,1.3391399416702472,0.3602649,alexnet_model 128,341.1940043449402,293069068
11,1.3379176692457388,0.3602649,alexnet_model 128,375.3134047794342,293069068
12,1.3379466064718386,0.3602649,alexnet_model 128,409.43280521392825,293069068
13,1.3373422276894777,0.3602649,alexnet_model 128,443.5522056484222,293069068
14,1.3378513764071938,0.3602649,alexnet_model 128,477.67160608291624,293069068
15,1.3377880923795384,0.3602649,alexnet_model 128,511.79100651741027,293069068
16,1.3373335986737385,0.3602649,alexnet_model 128,545.9104069519043,293069068
17,1.3380887018923728,0.3602649,alexnet_model 128,580.0298073863983,293069068
18,1.33780515999194,0.3602649,alexnet_model 128,614.1492078208923,293069068
19,1.337660490124431,0.3602649,alexnet_model 128,648.2686082553863,293069068
20,1.337431791602381,0.3602649,alexnet_model 128,682.3880086898804,293069068
21,1.3372669234181083,0.3602649,alexnet_model 128,716.5074091243744,293069068
22,1.3373053133882433,0.3602649,alexnet_model 128,750.6268095588684,293069068
23,1.3377777055399307,0.3602649,alexnet_model 128,784.7462099933624,293069068
24,1.3373678597393415,0.3602649,alexnet_model 128,818.8656104278565,293069068
25,1.3377594843605496,0.3602649,alexnet_model 128,852.9850108623505,293069068
26,1.3372349227501068,0.3602649,alexnet_model 128,887.1044112968444,293069068
27,1.3372812577430775,0.3602649,alexnet_model 128,921.2238117313385,293069068
28,1.3373623737436258,0.3602649,alexnet_model 128,955.3432121658325,293069068
29,1.3373651731882663,0.3602649,alexnet_model 128,989.4626126003266,293069068
30,1.337207391088372,0.3602649,alexnet_model 128,1023.5820130348205,293069068
31,1.3373386599370185,0.3602649,alexnet_model 128,1057.7014134693145,293069068
32,1.3373682127883102,0.3602649,alexnet_model 128,1091.8208139038086,293069068
33,1.3382013121977547,0.3602649,alexnet_model 128,1125.9402143383027,293069068
34,1.3375133890189872,0.3602649,alexnet_model 128,1160.0596147727965,293069068
35,1.3372145087513703,0.3602649,alexnet_model 128,1194.1790152072906,293069068
36,1.3373786064173212,0.3602649,alexnet_model 128,1228.2984156417847,293069068
37,1.3372113553104021,0.3602649,alexnet_model 128,1262.4178160762788,293069068
38,1.337426430026427,0.3602649,alexnet_model 128,1296.5372165107726,293069068
39,1.3374637985861064,0.3602649,alexnet_model 128,1330.6566169452667,293069068
40,1.3372307827930576,0.3602649,alexnet_model 128,1364.7760173797608,293069068
41,1.3374898601051988,0.3602649,alexnet_model 128,1398.8954178142549,293069068
42,1.3371919748798902,0.3602649,alexnet_model 128,1433.0148182487487,293069068
43,1.3372646421786176,0.3602649,alexnet_model 128,1467.1342186832428,293069068
44,1.337753795630095,0.3602649,alexnet_model 128,1501.253619117737,293069068
45,1.337402708325165,0.3602649,alexnet_model 128,1535.3730195522307,293069068
46,1.3373572177444861,0.3602649,alexnet_model 128,1569.4924199867248,293069068
47,1.3373770259074027,0.3602649,alexnet_model 128,1603.611820421219,293069068
48,1.3374389837909217,0.3602649,alexnet_model 128,1637.731220855713,293069068
49,1.3373604438162798,0.3602649,alexnet_model 128,1671.8506212902068,293069068
50,1.3373076925214553,0.3602649,alexnet_model 128,1705.970021724701,293069068
